0,구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59,00:00~00:29,00:30~00:59
1,개화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,김포공항,2.8760000000000003,5.6259999999999994,12.404,24.688000000000006,28.2,43.412,43.228,29.424,14.605999999999998,9.532,13.541999999999998,9.675999999999998,9.346,11.330000000000002,9.912,11.358,8.322,11.36,10.398,11.104000000000003,12.069999999999999,10.67,7.388,10.436,11.832,15.126,16.958,12.306000000000001,11.2,8.308,9.414,5.97,9.544,7.899999999999999,5.602,5.756,6.02,4.772,3.0260000000000002
3,공항시장,6.31,6.781999999999999,14.315999999999999,28.478,33.739999999999995,49.94199999999999,49.16799999999999,32.368,18.774,10.830000000000002,15.014,11.228000000000002,10.372,12.778,11.516,12.466,9.872,12.462,12.184,10.620000000000001,13.040000000000001,11.318000000000001,8.77,9.012,11.108,14.968,18.172,10.078,10.12,8.338,9.097999999999999,5.837999999999999,8.992,7.1899999999999995,5.128,4.862,5.337999999999999,4.494,3.2019999999999995
4,신방화,13.174000000000001,12.276,22.71,43.974000000000004,52.732000000000006,70.46000000000001,64.34,43.577999999999996,26.896000000000004,17.642,20.012,17.39,14.696000000000002,18.446,17.906000000000002,17.302,14.620000000000001,15.382,15.696000000000002,14.382,15.724,13.120000000000001,12.152,11.632000000000001,13.258,18.383999999999997,18.194,11.062000000000001,10.884,8.937999999999999,10.175999999999998,6.837999999999999,9.362,8.048,6.152,4.93,6.388,4.337999999999999,3.2940000000000005
5,마곡나루,4.862,9.361999999999998,16.892000000000003,33.838,43.306,58.470000000000006,71.572,39.486000000000004,28.476,15.146,16.875999999999998,16.09,12.174,15.616,16.184,15.778,13.252,14.315999999999999,16.59,14.801999999999998,14.395999999999997,14.592000000000002,12.725999999999999,12.798,16.302,23.191999999999997,22.738,13.538,12.156,12.258000000000001,12.608,8.544,12.056000000000001,10.860000000000001,8.360000000000001,6.8759999999999994,9.74,6.18,3.15
6,양천향교,9.622000000000002,12.28,21.874,47.977999999999994,59.239999999999995,72.63,69.256,47.932,32.47,19.089999999999996,22.046,20.036,15.776,19.443999999999996,21.637999999999998,20.324,17.470000000000002,18.144,20.142000000000003,19.363999999999997,19.273999999999997,19.285999999999998,17.674,18.509999999999998,25.13,40.998000000000005,28.772000000000002,17.194,14.62,15.776,12.672,9.834,11.648,11.976,7.965999999999999,6.808,8.756,7.409999999999999,3.842
7,가양,8.634,11.067999999999998,21.634,44.78000000000001,56.89000000000001,75.81800000000001,64.91600000000001,46.146,29.576,18.984,17.695999999999998,16.354000000000003,13.289999999999997,15.658000000000001,18.068,17.85,14.735999999999999,14.198000000000002,16.722,15.116,14.356,17.044,15.244,16.366,18.142,28.240000000000002,21.534,13.829999999999998,10.076,10.648,8.044,6.6,7.65,7.756,5.76,3.6700000000000004,7.286,7.534000000000001,3.0460000000000003
8,증미,11.436,13.858,24.994,49.396,67.95599999999999,82.44800000000001,73.804,55.608000000000004,36.814,22.14,19.823999999999998,20.078,16.592,17.512,20.468,20.456,15.894,15.906,17.946,16.381999999999998,15.59,19.43,18.451999999999998,21.732,24.424,44.468,26.189999999999998,15.75,11.318000000000001,11.646,8.148,7.284000000000001,7.572,7.610000000000001,5.258,3.314,6.859999999999999,7.136,2.556
9,등촌,18.182,21.036,35.614,69.55199999999999,101.77799999999999,122.58,105.674,74.378,46.618,29.186,24.69,24.818,20.454,22.137999999999998,24.768,25.216,19.259999999999998,19.009999999999998,19.352,18.274,17.235999999999997,20.348000000000003,20.732,26.266,23.721999999999998,49.498000000000005,28.028000000000002,15.952000000000002,12.096,11.616,8.336,7.9,7.281999999999999,8.742,5.1,3.1399999999999997,5.482,7.574000000000001,2.406
10,염창,17.194,22.952,38.63000000000001,74.29800000000002,117.15599999999999,146.826,123.65600000000002,87.99600000000001,53.428,33.495999999999995,28.079999999999995,27.610000000000003,22.034,22.677999999999997,27.266,27.160000000000004,23.19,18.798000000000002,20.718,18.485999999999997,19.22,20.706,21.782,27.005999999999993,24.782,50.324,29.053999999999995,16.862000000000002,12.620000000000001,12.488,8.86,8.836,7.494,8.782,5.808,3.2359999999999998,5.638,7.781999999999999,2.218
11,신목동,20.744000000000003,27.136000000000003,44.21,82.562,128.06199999999998,159.16400000000002,136.67200000000003,97.174,62.064,41.79600000000001,32.71,31.606,25.756,26.330000000000002,29.895999999999997,30.476,25.596,21.509999999999998,22.242,19.208000000000002,21.536,21.692,26.867999999999995,27.806000000000004,25.754,48.510000000000005,34.922,17.652,13.410000000000002,13.356,9.834,10.068000000000001,8.544,9.792,6.142,4.6419999999999995,5.654,8.412,2.7640000000000002
12,선유도,22.402,24.454,42.964,82.94,139.60000000000002,169.88799999999998,143.476,103.936,71.544,45.986000000000004,35.812,35.047999999999995,28.674,30.356,34.064,34.654,30.474,25.032,25.555999999999997,24.112000000000002,26.082,25.95,34.722,38.525999999999996,39.848,75.03399999999999,45.652,25.794,17.253999999999998,17.276,12.514,12.356,9.728,11.398,6.863999999999999,5.128,5.047999999999999,8.476,3.444
13,당산,22.008000000000003,26.344,43.751999999999995,80.358,137.50799999999998,159.69400000000002,170.894,113.11799999999998,87.53,48.8,38.048,38.372,32.396,32.17,42.518,40.230000000000004,35.116,27.976,26.860000000000003,25.294,26.607999999999997,25.064000000000004,29.370000000000005,30.306,34.326,54.806,38.52,23.270000000000003,16.118000000000002,16.032,11.488,13.309999999999999,10.494000000000002,12.384,10.437999999999999,6.965999999999999,7.034000000000001,11.948,6.3100000000000005
14,국회의사당,20.272,25.24,39.732,65.256,111.11799999999998,122.374,102.57000000000001,81.696,67.70400000000001,43.884,33.604,40.544,34.41799999999999,36.391999999999996,41.966,44.172,39.214,38.22,38.54600000000001,42.147999999999996,42.556,50.983999999999995,47.306,81.116,81.042,135.91800000000003,84.494,46.5,28.922000000000004,26.162,25.321999999999996,27.216,20.454,21.454,16.142,11.806000000000001,8.494,12.462,6.23
15,여의도,15.25,25.083999999999996,37.08,48.96,71.74199999999999,95.288,70.58399999999999,78.562,59.67999999999999,45.592,35.49400000000001,42.86,35.126,36.321999999999996,43.134,46.538,41.926,41.044,43.068,45.410000000000004,48.074,59.372,56.282,86.52000000000001,84.06,120.16000000000001,90.178,41.418000000000006,29.068,28.659999999999997,26.922000000000004,27.292,21.194000000000003,24.43,19.642000000000003,13.278,9.266,14.591999999999999,9.384
16,샛강,15.146,23.704,34.864000000000004,44.646,62.946000000000005,81.90599999999999,58.58799999999999,70.62,55.605999999999995,43.408,36.339999999999996,41.41199999999999,35.338,33.762,41.636,46.368,41.476,41.372,43.382,48.198,46.406,60.262,51.269999999999996,84.46600000000001,84.722,117.644,110.00399999999999,45.690000000000005,30.724,29.086000000000002,30.291999999999994,27.747999999999998,20.982,23.866000000000003,18.972,13.884,9.373999999999999,13.145999999999997,8.362
17,노량진,19.996000000000002,36.495999999999995,41.702,51.678,80.458,116.64399999999998,87.41999999999999,95.208,66.89,50.902,41.124,43.818,36.534000000000006,34.708000000000006,44.15,47.682,44.016,39.739999999999995,41.726,42.754,44.964,51.64,46.948,65.74199999999999,69.85400000000001,89.01599999999999,92.428,39.75600000000001,27.186,25.426,28.344,24.058,21.508000000000003,20.944,20.274,15.012,9.978,13.463999999999999,5.796
18,노들,25.240000000000002,39.516,44.722,57.53000000000001,87.27799999999999,125.49599999999998,93.008,100.334,76.476,54.00599999999999,43.486,46.458000000000006,40.336,36.23,45,48.12,44.486000000000004,39.966,41.964,43.122,44.04,47.38,50.208,62.955999999999996,68.828,86.118,88.46600000000001,37.382,26.718,23.928,26.74,22.874,19.979999999999997,20.034,19.404000000000003,14.646,9.546,15.068000000000001,7.048
19,흑석,27.018,37.230000000000004,43.622,55.664,82.904,121.126,90.25800000000001,98.31800000000001,80.35999999999999,51.69199999999999,43.818000000000005,43.516,39.41199999999999,38.44,43.66199999999999,47.932,44.35600000000001,39.836,43.672,48.22,45.16,51.586,54.072,65.258,71.606,88.748,92.552,40.524,27.25,24.162,26.398000000000003,24.267999999999997,20.352,20.035999999999998,20.154000000000003,15.698000000000002,9.030000000000001,13.936000000000002,7.968000000000001
20,동작,13.209999999999999,29.344,32.16,53.634,82.954,122.46199999999999,99.826,95.75999999999999,75.102,38.022000000000006,32.052,29.370000000000005,26.583999999999996,25.690000000000005,28.894,33.21,34.245999999999995,30.252,29.631999999999998,31.863999999999997,30.79,33.312,37.994,49.766000000000005,59.69199999999999,65.484,81.7,36.008,25.266,20.512,22.688,20.264,16.618000000000002,16.778,13.372,9.964,5.836,13.145999999999997,7.256
21,구반포,7.968000000000001,24.215999999999998,30.29,48.142,75.05600000000001,120.41199999999999,96.21400000000001,93.02000000000001,78.17,38.86,30.552,27.951999999999998,25.598,24.848,27.372000000000003,31.394,32.788,29.144,30.802,29.948,30.369999999999997,34.102,37.336,49.436,59.398,62.524,79.806,34.432,24.346,19.218,21.64,19.168,18.588,15.162,11.95,8.678,4.731999999999999,12.016,5.9159999999999995
22,신반포,7.294,15.25,23.270000000000003,44.88399999999999,75.328,122.048,97.19000000000001,92.86,86.046,40.278,32.024,28.712,29,26.398000000000003,27.568,32.892,34.076,30.958,31.194,31.944,33.21,37.626,41.016,54.074,61.236000000000004,64.598,82.18,37.258,24.689999999999998,20.168,23.034,20.826,20.060000000000002,15.962,14.618,9.335999999999999,5.336,13.148,7.140000000000001
23,고속터미널,5.362,14.931999999999999,21.77,33.67,52.166,82.07399999999998,69.304,74.668,77.638,37.806,34.077999999999996,26.162,27.766000000000002,25.688,26.938,29.818,32.736000000000004,28.558,29.236,30.344,30.014,33.91799999999999,36.304,48.104,48.946,51.519999999999996,67.916,36.72,24.000000000000004,21.954,22.982,20.113999999999997,19.456,16.252000000000002,15.657999999999998,9.675999999999998,6.152,9.742,9.941999999999998
24,사평,5.282,14.357999999999999,20.706,29.422000000000004,48.629999999999995,79.668,76.532,72.09,78.66999999999999,38.178000000000004,33.644,25.002000000000002,26.791999999999994,23.862000000000002,26.348000000000003,28.764,32.66,27.726,27.766,28.502,28.282,31.974,33.878,45.709999999999994,46.800000000000004,44.854,60.974000000000004,32.952,23.402000000000005,18.958,20.560000000000002,18.006,18.434,14.448000000000002,13.580000000000002,7.992,4.814,4.9079999999999995,9.046000000000001
25,신논현,4.496,14.684000000000001,20.758,30.924,52.528,86.60000000000001,83.39399999999999,73.08200000000001,81.96600000000001,45.668,34.866,26.612000000000002,27.53,24.178,27.146000000000004,30.077999999999996,33.922,27.815999999999995,27.896000000000004,28.119999999999997,28.645999999999997,32.63,35.705999999999996,39.872,43.174,44.324,55.254,34.332,24.322000000000003,19.562,20.852,20.14,20.168,16.932,16.538,10.925999999999998,7.518000000000001,7.048,11.75
26,언주,3.5479999999999996,8.322000000000001,12.856,22.558,34.838,58.048,59.455999999999996,47.762,61.513999999999996,35.396,26.108000000000004,22.720000000000002,26.266000000000002,21.402,23.14,26.660000000000004,28.369999999999997,24.94,25.15,26.45,27.188,32.186,36.548,42.861999999999995,48.03,56.294000000000004,63.472,41.312,25.578000000000003,20.062,21.454,21.244,21.112000000000002,17.142000000000003,16.538,11.171999999999999,6.389999999999999,6.378,10.294
27,선정릉,3.8239999999999994,7.392000000000001,12.41,22.203999999999997,33.996,54.486000000000004,61.94200000000001,44.778,47.75,32.842,26.212,22.402,26.898000000000003,21.48,23.518,25.518,27.502,24.254,23.27,25.374000000000002,27.106,32.102,35.602,36.6,45.160000000000004,58.38399999999999,62.126,42.634,27.863999999999997,22.157999999999998,22.298,22.826,22.324000000000005,18.77,17.221999999999998,12.356,8.175999999999998,11.911999999999999,11.2
28,삼성중앙,4.614,5.626,8.558000000000002,12.944000000000003,21.374000000000002,36.066,34.727999999999994,25.5,28.830000000000002,23.296,19.564,16.604000000000003,21.562,18.222,18.3,21.046,22.663999999999998,20.89,20.625999999999998,22.926000000000002,23.68,28.610000000000003,33.63,36.166000000000004,43.553999999999995,60.008,60.464,42.565999999999995,28.71,22.228,22.637999999999998,23.006,21.348000000000003,18.695999999999998,16.330000000000002,11.987999999999998,8.532,7.24,10.134
29,봉은사,4.220000000000001,4.5200000000000005,6.034,8.754,14.112,23.222,19.387999999999998,13.744,14.097999999999999,14.384,10.412,9.886,15.356,12.412,12.617999999999999,16.406,17.116000000000003,16.88,17.130000000000003,20.137999999999998,22.756,25.426,32.684000000000005,32.814,47.222,67.286,67.326,49.044,31.552,22.298,25.163999999999998,27.160000000000004,24.084000000000003,20.196,17.65,12.136,8.556000000000001,7.287999999999999,9.264
30,종합운동장,4.222,3.9839999999999995,8.624,10.202,13.828,23.151999999999997,23.608000000000004,14.930000000000001,15.462,15.540000000000001,12.489999999999998,10.702000000000002,17.458000000000006,13.919999999999998,14.407999999999998,17.996000000000002,19.206,18.009999999999998,18.560000000000002,20.036,25.003999999999998,28.660000000000004,31.276,37.232,51.166,69.236,77.572,54.348,37.902,26.846000000000004,29.766,31.026,28.029999999999994,25.056,21.456,16.646,12.122,10.832,11.016
31,삼전,4.561999999999999,4.38,8.074000000000002,10.780000000000001,14.748,23.528,22.206,14.578,14.382,14.302000000000001,11.568,10.152000000000001,15.616,13.172,12.724,15.026,16.776,15.802000000000001,15.536000000000001,16.827999999999996,21.008,24.296,26.506,31.806,41.65,53.660000000000004,62.315999999999995,41.984,29.322000000000003,20.718000000000004,22.189999999999998,23.532,21.272,18.588,17.142000000000003,12.278,8.070000000000002,6.33,9.376
32,석촌고분,6.188000000000001,4.338,7.784000000000001,11.556,14.822,23.71,20.169999999999998,13.309999999999999,12.506000000000002,13.830000000000002,10.86,9.319999999999999,14.91,13.068000000000001,11.806000000000001,13.802000000000001,15.146,14.331999999999999,14.24,15.486,19.302,21.77,24.032,28.3,36.89,48,49.872,35.454,22.112000000000002,16.247999999999998,16.669999999999998,19.720000000000002,16.38,13.778,12.303999999999998,9.202,5.1,5.072,7.914
33,석촌,4.536,3.8260000000000005,6.074,5.4159999999999995,7.709999999999999,12.456,12.58,7.836,10.266,9.937999999999999,8.178,7.454000000000001,10.516,9.44,8.754,9.306000000000001,11.123999999999999,9.808,9.386,10.23,13.920000000000002,13.266,14.565999999999999,19.03,22.338,27.214,31.395999999999997,23.406,16.704,11.386,11.938,12.276,10.86,10.228,8.745999999999999,6.424000000000001,5.008,4.65,7.531999999999999
34,송파나루,4.3759999999999994,3.156,3.024,3.47,5.231999999999999,8.338,6.2700000000000005,4.464,6.11,6.022,4.866,4.914,7.140000000000001,6.914,5.392,5.677999999999999,7.688,6.2299999999999995,5.796000000000001,6.284000000000001,9.580000000000002,7.807999999999998,8.244,10.828,14.684000000000001,14.177999999999997,15.306000000000001,12.2,8.977999999999998,6.88,7.2299999999999995,8.1,6.574000000000001,6.412000000000001,5.02,5.234,2.7359999999999998,1.8780000000000001,4.356
35,한성백제,4.220000000000001,2.7600000000000002,2.7359999999999998,3.192,4.908,6.838000000000001,4.84,3.626,4.8180000000000005,4.05,4.7059999999999995,3.7600000000000002,5.164,6.152,4.102,4.38,5.835999999999999,4.862,4.717999999999999,4.88,7.046000000000001,6.678,6.864,9.898,12.539999999999997,13.565999999999999,12.672,8.258,6.394,5.145999999999999,5.388,6.4399999999999995,4.812,4.311999999999999,3.312,4.220000000000001,1.7080000000000002,1.458,3.896
36,올림픽공원,2.444,3.3520000000000003,2.184,3.1559999999999997,6.028,4.634,2.032,2.1100000000000003,2.886,2.682,2.444,1.736,3.274,3.286,1.998,2.524,2.418,2.21,2.288,1.6039999999999999,3.364,1.6919999999999997,2.524,4.456,5.255999999999999,4.402,4.906000000000001,4.377999999999999,2.8999999999999995,2.944,3.6799999999999997,3.4480000000000004,1.814,3.162,1.656,2.2600000000000002,1.024,0.974,2.4899999999999998
37,둔촌오륜,2.124,1.7760000000000002,1.276,1.9440000000000002,2.9839999999999995,2.9979999999999998,1.5759999999999998,2.228,3.194,2.424,3.3919999999999995,1.658,2.368,2.8920000000000003,1.416,2.79,2.232,1.972,1.9580000000000002,1.576,2.29,2.63,1.6279999999999997,3.748,3.35,2.664,2.972,2.792,2.21,2.314,2.286,2.524,2.1559999999999997,2.7359999999999998,1.1640000000000001,1.8119999999999998,0.866,0.8240000000000001,2.3280000000000003
38,중앙보훈병원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0