철도운영기관명,선명,역명,승강장번호,상하행,지상구분,역층,승강장연결_여부,스크린도어_유무,안전발판_유무
서울시메트로9호선주식회사,9호선,가양,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,가양,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,개화,1,상행,지상,1,Y,N,N
서울시메트로9호선주식회사,9호선,개화,2,하행,지상,1,Y,N,N
서울시메트로9호선주식회사,9호선,고속터미널,1,상행,지하,5,Y,Y,N
서울시메트로9호선주식회사,9호선,고속터미널,2,하행,지하,5,Y,Y,N
서울시메트로9호선주식회사,9호선,공항시장,1,상행,지하,4,Y,Y,Y
서울시메트로9호선주식회사,9호선,공항시장,2,하행,지하,4,Y,Y,Y
서울시메트로9호선주식회사,9호선,구반포,1,상행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,구반포,2,하행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,국회의사당,1,상행,지하,3,Y,Y,Y
서울시메트로9호선주식회사,9호선,국회의사당,2,하행,지하,3,Y,Y,Y
서울시메트로9호선주식회사,9호선,김포공항,1,상행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,김포공항,2,하행,지하,4,Y,Y,N
서울시메트로9호선주식회사,9호선,노들,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,노들,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,노량진,1,상행,지하,2,N,Y,N
서울시메트로9호선주식회사,9호선,노량진,2,하행,지하,2,N,Y,N
서울시메트로9호선주식회사,9호선,당산,1,상행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,당산,2,하행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,동작(현충원),1,상행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,동작(현충원),2,하행,지하,3,Y,Y,Y
서울시메트로9호선주식회사,9호선,등촌,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,등촌,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,마곡나루,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,마곡나루,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,봉은사,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,봉은사,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,사평,1,상행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,사평,2,하행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,삼성중앙,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,삼성중앙,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,샛강,1,상행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,샛강,2,하행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,석촌,1,상행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,석촌,2,하행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,선유도,1,상행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,선유도,2,하행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,선정릉,1,상행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,선정릉,2,하행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,신논현,1,상행,지하,4,Y,Y,N
서울시메트로9호선주식회사,9호선,신논현,2,하행,지하,4,Y,Y,N
서울시메트로9호선주식회사,9호선,신목동,1,상행,지하,3,Y,Y,Y
서울시메트로9호선주식회사,9호선,신목동,2,하행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,신반포,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,신반포,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,신방화,1,상행,지하,2,N,Y,Y
서울시메트로9호선주식회사,9호선,신방화,2,하행,지하,2,N,Y,Y
서울시메트로9호선주식회사,9호선,양천향교,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,양천향교,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,언주,1,상행,지하,5,Y,Y,N
서울시메트로9호선주식회사,9호선,언주,2,하행,지하,5,Y,Y,N
서울시메트로9호선주식회사,9호선,여의도,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,여의도,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,염창,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,염창,2,하행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,올림픽공원(한국체대),1,상행,지하,3,Y,Y,Y
서울시메트로9호선주식회사,9호선,올림픽공원(한국체대),2,하행,지하,3,Y,Y,Y
서울시메트로9호선주식회사,9호선,종합운동장,1,상행,지하,4,Y,Y,N
서울시메트로9호선주식회사,9호선,종합운동장,2,상행,지하,4,Y,Y,N
서울시메트로9호선주식회사,9호선,증미,1,상행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,증미,2,하행,지하,3,Y,Y,N
서울시메트로9호선주식회사,9호선,흑석(중앙대입구),1,상행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,흑석(중앙대입구),2,하행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,삼전,1,상행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,삼전,2,하행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,석촌고분,1,상행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,석촌고분,2,하행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,송파나루,1,상행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,송파나루,2,하행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,한성백제,1,상행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,한성백제,2,하행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,둔촌오륜,1,상행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,둔촌오륜,2,하행,지하,2,Y,Y,Y
서울시메트로9호선주식회사,9호선,중앙보훈병원,1,상행,지하,2,Y,Y,N
서울시메트로9호선주식회사,9호선,중앙보훈병원,2,하행,지하,2,Y,Y,Y
